ID	Variety	Variety_Rename	Maternal	Paternal	Time	N	E	ASI	DTA	DTS	PH	EH	EP	LL	LW	TL	TBN	LAL	LAU
76	Xiangyu7	Xiangyu7	478	H152	1995	113.08	28.21	2.3	56.3	58.5	291.6	123.1	42.2	94.9	10.49	40.5	17.6	166.4	16
77	Yedan51	Yedan51	832	Shuang741	1995	120	37.19	1.5	55.5	57	280.8	129.6	46.1	76.7	9.7	30.8	17.7	159.2	24.3
78	Luyu16	Luyu16	478	H21	1996	117.08	36.71	0.3	62.5	62.8	237.6	111.3	46.9	75	7.66	38.6	13.9	161.1	20.9
79	Nongda3138	Nongda3138	Zong31	P138	1996	116.29	40.03	1	58.5	59.5	301.3	131.6	43.7	94.6	11.07	42.9	10.6	156.4	27.9
80	Simi25	Simi25	81162	Tie7922	1996	124.38	43.18	0.3	60.3	60.5	324.5	156.4	48.2	86.1	10.97	34	7.8	165.9	19
81	Yuyu18	Yuyu18	478	Zheng22	1996	113.68	34.79	2.5	56.8	59.3	275.7	99.5	36	88.7	10.45	39.7	20.1	167.9	14.7
82	Zhengdan14	Zhengdan14	478	Zheng22	1996	113.68	34.79	2.8	55.5	58.3	271.7	97.8	36	88.3	11.18	41	20.9	168.1	14.8
83	Chengdan18	Chengdan18	698_3	Qi205	1997	104.11	30.63	1.8	62.8	64.5	303	143	47.2	97.9	11.28	38.1	8.2	163.6	19.3
84	Chuandan13	Chuandan13	478	18_599	1997	103.01	29.98	1.5	66	67.5	332.5	169.5	51	97.5	11.07	38.8	21.8	169.1	14.5
85	Danyu23	Danyu23	Dan9046	Dan340	1997	124.13	40.48	3	64	67	299.9	155.9	52	86.4	9.88	32	17.8	162.4	14.6
86	Yuyu22	Yuyu22	Zong3	87_1	1997	113.67	34.79	2.8	58.3	61	318.5	142.4	44.7	100.6	11.38	38.5	19.7	166.6	16.3
87	Yuyu23	Yuyu23	478	Chang7_2	1997	114.41	36.1	0.3	61	61.3	307.6	155.3	50.5	88.5	10.47	33.2	28.6	169.9	11.9
88	Denghai1	Denghai1	Denghai4866	196	1998	120	37.19	1.8	60.5	62.3	308.2	126.5	41.1	99.6	9.76	42.7	17.3	173.4	8.2
89	Huayu4	Huayu4	HZ85	S7913	1998	114.37	30.48	1	63.3	64.3	323.2	140.3	43.5	99.7	9.92	43.9	12.6	161.1	20.4
90	Ludan50	Ludan50	Luyuan92	Qi319	1998	117.08	36.71	1.8	60	61.8	290.6	131.3	45.2	88.3	10.09	38	9.7	154.7	23.8
91	Nongda108	Nongda108	178	HuangC	1998	116.29	40.03	0.3	66	66.3	328.3	156.9	47.9	86.2	10.9	35.2	7.8	157.8	23.9
92	Shendan10	Shendan10	Shen137	Q1261	1998	123.46	41.91	3	65.5	68.5	351.2	187.9	53.5	103.7	11.15	43.3	18.9	164.2	18.5
93	Yedan19	Yedan19	478	Ye52106	1998	120	37.19	2.8	62.3	65	329.6	164.6	49.9	84.2	11.78	45.1	21	168.2	12.7
94	Chengdan19	Chengdan19	Cheng687	7327	1999	104.11	30.63	5.5	62.3	67.8	318.1	155	48.7	107.3	12.38	40.5	23.3	160	20.2
95	Danyu24	Danyu24	Dan599	Dan340	1999	124.13	40.48	0.3	62	62.3	321.5	164.8	51.3	93.2	10.79	37.8	16.9	154.7	28.9
