Type,value,sd,trait,treatment
S,-0.228711,0.748483,asv_000251,HN
ResVar,0.015172,0.003208,asv_000251,HN
GenVar,0.002146,0.00283,asv_000251,HN
hsq,0.124062,0.161951,asv_000251,HN
Pi,0.002404,0.00224,asv_000260,HN
NnzSnp,1799.780762,1677.609985,asv_000260,HN
SigmaSq,7e-06,1.1e-05,asv_000260,HN
S,-0.204336,0.77092,asv_000260,HN
ResVar,0.027205,0.005261,asv_000260,HN
GenVar,0.003552,0.004552,asv_000260,HN
hsq,0.115437,0.146434,asv_000260,HN
Pi,0.002349,0.002154,asv_000272,HN
NnzSnp,1758.901245,1613.485229,asv_000272,HN
SigmaSq,6e-06,1.1e-05,asv_000272,HN
S,-0.260317,0.836903,asv_000272,HN
ResVar,0.027079,0.006468,asv_000272,HN
GenVar,0.004314,0.005952,asv_000272,HN
hsq,0.137182,0.187529,asv_000272,HN
Pi,0.002115,0.002085,asv_000281,HN
NnzSnp,1583.781006,1561.714966,asv_000281,HN
SigmaSq,4e-06,1e-05,asv_000281,HN
S,-0.020889,0.838633,asv_000281,HN
ResVar,0.013457,0.002636,asv_000281,HN
GenVar,0.001453,0.002286,asv_000281,HN
hsq,0.097417,0.151979,asv_000281,HN
Pi,0.002264,0.002175,asv_000294,HN
NnzSnp,1694.806763,1629.403442,asv_000294,HN
SigmaSq,3e-06,1e-05,asv_000294,HN
S,-0.016836,0.812415,asv_000294,HN
ResVar,0.019547,0.002898,asv_000294,HN
GenVar,0.001148,0.002167,asv_000294,HN
hsq,0.055446,0.103677,asv_000294,HN
Pi,0.003139,0.002952,asv_000311,HN
NnzSnp,2350.594482,2210.891357,asv_000311,HN
SigmaSq,1e-06,1e-06,asv_000311,HN
S,0.222523,0.780803,asv_000311,HN
ResVar,0.001051,0.000189,asv_000311,HN
GenVar,0.00013,0.000159,asv_000311,HN
hsq,0.110109,0.133156,asv_000311,HN
Pi,0.002961,0.002782,asv_000322,HN
NnzSnp,2217.287598,2083.185547,asv_000322,HN
SigmaSq,6e-06,1.1e-05,asv_000322,HN
S,0.043061,0.820333,asv_000322,HN
ResVar,0.023236,0.004317,asv_000322,HN
GenVar,0.002657,0.003676,asv_000322,HN
hsq,0.10258,0.140526,asv_000322,HN
