Type,value,sd,trait,treatment
ResVar,0.010129,0.005249,asv_002172,LN
GenVar,0.003702,0.005159,asv_002172,LN
hsq,0.266966,0.371086,asv_002172,LN
Pi,0.001315,0.001311,asv_002205,LN
NnzSnp,984.588684,981.456726,asv_002205,LN
SigmaSq,0,0,asv_002205,LN
S,0.039653,0.81216,asv_002205,LN
ResVar,0.000117,2e-05,asv_002205,LN
GenVar,1.1e-05,1.7e-05,asv_002205,LN
hsq,0.086554,0.128273,asv_002205,LN
Pi,0.001186,0.00157,asv_002353,LN
NnzSnp,887.559204,1175.124023,asv_002353,LN
SigmaSq,5e-06,8e-06,asv_002353,LN
S,-0.685198,1.410045,asv_002353,LN
ResVar,0.013424,0.005218,asv_002353,LN
GenVar,0.004611,0.005095,asv_002353,LN
hsq,0.25502,0.279371,asv_002353,LN
Pi,0.00135,0.001321,asv_002354,LN
NnzSnp,1010.262878,989.344299,asv_002354,LN
SigmaSq,0,0,asv_002354,LN
S,0.136388,0.967496,asv_002354,LN
ResVar,2e-06,0,asv_002354,LN
GenVar,0,0,asv_002354,LN
hsq,0.06099,0.128993,asv_002354,LN
Pi,0.002752,0.002069,asv_002358,LN
NnzSnp,2060.89209,1548.966309,asv_002358,LN
SigmaSq,7e-06,1.2e-05,asv_002358,LN
S,-0.790258,0.567057,asv_002358,LN
ResVar,0.004492,0.002329,asv_002358,LN
GenVar,0.005544,0.002396,asv_002358,LN
hsq,0.550687,0.231208,asv_002358,LN
Pi,0.000117,0.000496,asv_002692,LN
NnzSnp,86.726303,371.192169,asv_002692,LN
SigmaSq,6e-06,5e-06,asv_002692,LN
S,-2.30767,0.510331,asv_002692,LN
ResVar,0.001695,0.003308,asv_002692,LN
GenVar,0.022216,0.003408,asv_002692,LN
hsq,0.928818,0.139288,asv_002692,LN
Pi,0.001333,0.001273,asv_002742,LN
NnzSnp,997.438477,953.321777,asv_002742,LN
SigmaSq,5e-06,7e-06,asv_002742,LN
S,0.129344,0.874566,asv_002742,LN
ResVar,0.021309,0.003008,asv_002742,LN
GenVar,0.001103,0.002151,asv_002742,LN
hsq,0.049128,0.094765,asv_002742,LN
Pi,0.001704,0.001651,asv_002743,LN
NnzSnp,1275.691284,1236.888306,asv_002743,LN
SigmaSq,0,1e-06,asv_002743,LN
S,-0.016069,0.843059,asv_002743,LN
ResVar,0.001726,0.000301,asv_002743,LN
GenVar,0.000148,0.000247,asv_002743,LN
hsq,0.079218,0.130526,asv_002743,LN
Pi,0.00249,0.001853,asv_002780,LN
NnzSnp,1865.05957,1387.645996,asv_002780,LN
SigmaSq,2e-06,3e-06,asv_002780,LN
S,-0.452086,0.709169,asv_002780,LN
ResVar,0.001527,0.000652,asv_002780,LN
GenVar,0.000827,0.000645,asv_002780,LN
hsq,0.350549,0.269365,asv_002780,LN
Pi,0.001551,0.001492,asv_002796,LN
NnzSnp,1161.171509,1117.640991,asv_002796,LN
SigmaSq,2e-06,3e-06,asv_002796,LN
S,-0.016534,0.861387,asv_002796,LN
ResVar,0.007615,0.001151,asv_002796,LN
GenVar,0.000465,0.000866,asv_002796,LN
hsq,0.057534,0.106186,asv_002796,LN
Pi,0.000118,0.000414,asv_002841,LN
NnzSnp,87.150826,309.939911,asv_002841,LN
SigmaSq,9e-06,2.1e-05,asv_002841,LN
S,-2.309282,0.522603,asv_002841,LN
ResVar,0.008904,0.004515,asv_002841,LN
GenVar,0.013055,0.004667,asv_002841,LN
hsq,0.593204,0.205099,asv_002841,LN
Pi,0.001601,0.001407,asv_002995,LN
NnzSnp,1198.418945,1053.506348,asv_002995,LN
SigmaSq,0,1e-06,asv_002995,LN
S,-0.643786,0.925072,asv_002995,LN
ResVar,0.001036,0.000481,asv_002995,LN
GenVar,0.000516,0.000475,asv_002995,LN
hsq,0.331949,0.30262,asv_002995,LN
Pi,6.2e-05,0.00019,asv_003033,LN
NnzSnp,45.459427,141.68515,asv_003033,LN
SigmaSq,0,0,asv_003033,LN
S,-2.331809,0.418263,asv_003033,LN
ResVar,6e-06,1.1e-05,asv_003033,LN
GenVar,0.000131,1.1e-05,asv_003033,LN
hsq,0.953027,0.077269,asv_003033,LN
Pi,0.001354,0.001479,asv_003343,LN
NnzSnp,1013.877014,1107.915894,asv_003343,LN
SigmaSq,0,0,asv_003343,LN
S,0.225599,0.922027,asv_003343,LN
ResVar,0.000835,0.000111,asv_003343,LN
GenVar,3.1e-05,7.4e-05,asv_003343,LN
hsq,0.036083,0.084441,asv_003343,LN
Pi,0.001601,0.001604,asv_004558,LN
NnzSnp,1198.483398,1201.015625,asv_004558,LN
SigmaSq,0,0,asv_004558,LN
S,-0.075036,0.923235,asv_004558,LN
ResVar,0.000278,5.3e-05,asv_004558,LN
GenVar,2.8e-05,4.5e-05,asv_004558,LN
hsq,0.091258,0.147169,asv_004558,LN
Pi,0.001123,0.001142,asv_004714,LN
NnzSnp,840.518311,855.325806,asv_004714,LN
SigmaSq,0,0,asv_004714,LN
S,0.225955,0.867125,asv_004714,LN
ResVar,0.000991,0.000124,asv_004714,LN
GenVar,4e-05,7.7e-05,asv_004714,LN
hsq,0.038808,0.073391,asv_004714,LN
