sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
10785 70.03 75.88 1.11 153.84 24.47 8.02 74.39 171.26 53.04 30.82 5.51 30.89 5.69 16.8 20.79
10786 70.53 76.11 0.67 151.27 32.99 9.4 66.27 199.7 75.39 37.63 5.92 29.6 6.48 18 18.61
10787 69.34 76.81 1.7 161.98 23.01 8.95 77.05 204.17 68.85 33.64 10.9 34.33 5.57 17.8 23.8
10789 62.13 67.53 1.99 153.52 30.21 8.4 66.03 180.73 55.09 30.49 13.47 31.48 5.46 16.3 20.51
10790 60.25 65.67 1.7 144.28 37.11 8.52 58.18 153.05 47.4 31.2 8.03 28.4 4.73 15 20.65
10791 67.83 74.02 1.4 161.12 25.28 7.75 77.43 206.17 73.25 35.21 7.51 31.89 5.62 17 26.61
10792 62.09 67.06 1.4 146.84 39.37 8.26 65.52 168.57 51.91 30.84 10.9 29.45 4.88 14.4 16.07
10793 58.67 63.58 0.82 158.67 23.65 7.86 63.85 163.4 50.74 31.09 16.37 25.03 5.1 14 17.95
10794 56.99 62.65 1.55 136.58 45.95 6.71 67.82 197.04 70.13 35.56 14.43 33.61 4.38 13.6 18.76
10796 63.83 67.06 0.67 148.11 31.66 6.71 63.86 176.9 77.84 43.9 13.18 30.46 6.84 20.3 17.24
10797 71.16 77.27 1.26 162.8 20.01 11.64 69.35 186.38 78.78 42.09 11.93 30.13 5.79 18.7 22.91
10798 70.19 75.88 1.11 162.62 23.05 12.2 64.76 186.86 80.2 43.06 7.93 25.49 5.41 18 20.36
10799 70.08 74.72 0.38 154.54 27.42 11.5 56.47 190.37 75.77 40.1 4.41 25.97 7.12 20.3 20.65
10801 61.74 68.92 2.43 140.5 39.73 7.86 72.56 189.81 71.35 37.82 15.21 34.22 5.03 16 17.88
10802 75 82.61 1.11 162.15 18.23 10.22 71.94 245.22 100.2 40.34 10.32 33.08 4.95 16.8 27.24
